iso_code,gdp_2024,gdp_2025
AF,,
AL,27259.0,28372.0
DZ,264913.0,268885.0
AD,4038.0,4035.0
AO,115946.0,113343.0
AG,2225.0,2373.0
AR,632145.0,683533.0
AM,25533.0,26258.0
AW,3952.0,4100.0
AU,1796805.0,1771681.0
AT,521269.0,534301.0
AZ,74316.0,78870.0
BS,14761.0,15178.0
BH,46943.0,47829.0
BD,451096.0,467218.0
BB,7167.0,7552.0
BY,71180.0,71561.0
BE,664965.0,684864.0
BZ,3427.0,3611.0
BJ,21249.0,22236.0
BT,3092.0,3422.0
BO,48404.0,56339.0
BA,28795.0,28807.0
BW,19356.0,19400.0
BR,2171337.0,2125958.0
BN,15463.0,16007.0
BG,112232.0,117007.0
BF,23975.0,27056.0
BI,4743.0,6745.0
CV,2726.0,2786.0
KH,47328.0,49799.0
CM,52784.0,56011.0
CA,2241253.0,2225341.0
CF,2831.0,2932.0
TD,19078.0,18792.0
CL,330210.0,343823.0
CN,18748009.0,19231705.0
CO,418542.0,427766.0
KM,1456.0,1548.0
CD,71011.0,79119.0
CG,14893.0,15281.0
CR,95365.0,102591.0
CI,87096.0,94483.0
HR,92506.0,98951.0
CY,36156.0,38736.0
CZ,344931.0,360244.0
DK,429458.0,449940.0
DJ,4257.0,4587.0
DM,697.0,742.0
DO,124613.0,127828.0
EC,121728.0,125677.0
EG,383109.0,347342.0
SV,35337.0,36749.0
GQ,12544.0,12684.0
ER,,
EE,42752.0,45004.0
SZ,5199.0,5483.0
ET,143123.0,117457.0
FJ,5949.0,6257.0
FI,298833.0,303945.0
FR,3162023.0,3211292.0
GA,20774.0,20391.0
GM,2558.0,2771.0
GE,33775.0,35353.0
DE,4658526.0,4744804.0
GH,82825.0,88332.0
GR,257067.0,267348.0
GD,1392.0,1464.0
GT,112575.0,121177.0
GN,25758.0,30094.0
GW,2184.0,2274.0
GY,24659.0,25822.0
HT,26229.0,33548.0
HN,36965.0,38172.0
HK,407107.0,423999.0
HU,223060.0,237070.0
IS,33463.0,35309.0
IN,3909097.0,4187017.0
ID,1396300.0,1429743.0
IR,401357.0,341013.0
IQ,277478.0,258020.0
IE,577216.0,598840.0
IL,540381.0,583361.0
IT,2372059.0,2422855.0
JM,20069.0,21411.0
JP,4026211.0,4186431.0
JO,53428.0,56102.0
KZ,284810.0,300538.0
KE,120899.0,131673.0
KI,308.0,312.0
KR,1869714.0,1790322.0
XK,11151.0,11274.0
KW,158568.0,153101.0
KG,17491.0,19849.0
LA,15879.0,16322.0
LV,43508.0,45535.0
LB,28280.0,
LS,2309.0,2404.0
LR,4818.0,5166.0
LY,42159.0,47484.0
LT,84847.0,89192.0
LU,93169.0,96613.0
MO,50182.0,53354.0
MG,17420.0,18708.0
MW,11797.0,13959.0
MY,419617.0,444984.0
MV,7019.0,7480.0
ML,22724.0,23208.0
MT,24315.0,25750.0
MH,280.0,297.0
MR,10697.0,11470.0
MU,14953.0,15495.0
MX,1852723.0,1692640.0
FM,471.0,500.0
MD,18126.0,19462.0
MN,23586.0,25804.0
ME,8023.0,8562.0
MA,155350.0,165835.0
MZ,21944.0,23771.0
MM,61176.0,64944.0
NA,13370.0,14214.0
NR,161.0,169.0
NP,43419.0,46080.0
NL,1227174.0,1272011.0
NZ,257728.0,248666.0
NI,19710.0,21155.0
NE,19866.0,21874.0
NG,187640.0,188271.0
MK,16679.0,17885.0
NO,483727.0,504276.0
OM,106943.0,104351.0
PK,373078.0,
PW,306.0,333.0
PA,87688.0,91675.0
PG,31654.0,32835.0
PY,43989.0,45465.0
PE,289070.0,303293.0
PH,461617.0,497495.0
PL,908583.0,979960.0
PT,308590.0,321440.0
PR,120978.0,122522.0
QA,221452.0,222776.0
RO,384148.0,403395.0
RU,2161205.0,2076396.0
RW,14251.0,14771.0
WS,1068.0,1160.0
SM,2063.0,2047.0
ST,796.0,864.0
SA,1085358.0,1083749.0
SN,32892.0,34728.0
RS,89074.0,92549.0
SC,2168.0,2198.0
SL,7653.0,8386.0
SG,547387.0,564774.0
SK,140636.0,147031.0
SI,72463.0,75224.0
SB,1777.0,1898.0
SO,12134.0,12994.0
ZA,400191.0,410338.0
SS,5423.0,3998.0
ES,1722227.0,1799511.0
LK,98964.0,
KN,1117.0,1129.0
LC,2523.0,2632.0
VC,1162.0,1242.0
SD,28270.0,31506.0
SR,4458.0,4506.0
SE,610118.0,620297.0
CH,936738.0,947125.0
SY,,
TW,782441.0,804889.0
TJ,13544.0,14836.0
TZ,80171.0,85977.0
TH,526411.0,546224.0
TL,2015.0,2115.0
TG,9776.0,10023.0
TO,539.0,568.0
TT,25524.0,26467.0
TN,53063.0,56291.0
TR,1322405.0,1437406.0
TM,82515.0,89054.0
TV,65.0,65.0
UG,56453.0,64277.0
UA,190426.0,205742.0
AE,537079.0,548598.0
GB,3644636.0,3839180.0
US,29184900.0,30507217.0
UY,80961.0,79731.0
UZ,114962.0,132484.0
VU,1206.0,1267.0
VE,119808.0,108511.0
VN,459472.0,490970.0
PS,,
YE,19101.0,17401.0
ZM,26326.0,28910.0
ZW,35224.0,38172.0
